 my benchmark2.py
 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     39.2        155941189       3041   51279.6   31521.0     29505   1857006     131556.2  void gemv2T_kernel_val<int, int, __half, __half, __half, float, (int)128, (int)16, (int)4, (int)4, …
     14.5         57618455       1488   38722.1   36962.0     35713     49474       3711.3  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Param…
     11.5         45851145       2976   15407.0   14256.5     13920     21185       2322.9  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params) 
      5.2         20706222       1488   13915.5   12865.0     12129     18273       2094.2  void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (…
      4.0         15753548       6240    2524.6    2592.0      1760      5024        694.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      3.5         13942039       2976    4684.8    4448.0      4000      6497        713.8  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (b…
      3.0         11786742       6096    1933.5    1888.0      1472      4960        358.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, std:…
      2.8         11131910       3192    3487.4    3264.0      2752      5249        590.7  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      2.7         10689012       3120    3426.0    3744.0      2368      6433        962.9  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>,…
      2.6         10416371       3120    3338.6    3520.0      2368      7361        921.3  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      2.0          8103007       3120    2597.1    2816.0      1728      5216        756.1  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      1.9          7668546       3185    2407.7    2144.0      2080      5088        530.2  void rms_kernel<c10::Half>(const T1 *, const T1 *, float, T1 *)                                     
      1.5          6013030        144   41757.2   37361.5     36578     51970       6449.1  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x96x32_stage3_warpsize2x2x1_tensor16x8x16_execute_k…
      1.2          4624630       1560    2964.5    2688.0      2368      5505        536.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::Tenso…
      1.0          3835818       1560    2458.9    2240.0      1920      5408        466.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Ha…
      0.9          3684550       1560    2361.9    2144.0      2080      9312        535.2  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, _…
      0.7          2911066         72   40431.5   37234.0     36289     48002       4895.2  ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_tn                                          
      0.5          1846156        216    8547.0    8481.0      6016     14689       2628.4  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_k…
      0.3          1186038         72   16472.8   14560.0     14433     20608       2777.1  ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn                                           
      0.2           743905         65   11444.7   10592.0      9728     15040       1770.5  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::ArgMax…
      0.2           736569         72   10230.1    9056.0      8576     12832       1739.0  fmha_cutlassF_f16_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cu…
      0.1           484305        144    3363.2    3232.0      2624      4640        672.0  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1           205453        130    1580.4    1472.0      1408      2304        254.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::Ten…
      0.0           191175         65    2941.2    2752.0      2528      4161        480.3  void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(…
      0.0           179718         62    2898.7    2656.0      2624      3936        424.1  void at::native::<unnamed>::indexSelectSmallIndex<c10::Half, long, unsigned int, (int)2, (int)2, (i…
      0.0           177476         65    2730.4    2496.0      2400      4481        496.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIterat…
      0.0           173578         65    2670.4    2433.0      2400      4321        451.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIterat…
      0.0           161924         65    2491.1    2336.0      1952      3296        373.9  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0           147943         62    2386.2    2208.0      2176      3296        366.6  void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
      0.0           125060         62    2017.1    1856.0      1856      2688        304.8  void gemmk1_kernel<int, float, (int)256, (int)5, (bool)1, (bool)0, (bool)0, (bool)0, cublasGemvTens…
      0.0           115719         78    1483.6    1280.0      1248      2080        281.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::Half>, std::arr…
      0.0           111751         65    1719.2    1568.0      1536      2305        281.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, …
      0.0            90853         65    1397.7    1280.0      1248      2209        245.9  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0            12641          3    4213.7    3744.0      3713      5184        840.5  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>,…
      0.0             9600          3    3200.0    2912.0      2784      3904        613.0  void at::native::triu_tril_kernel<c10::Half, int, (bool)0, (int)4, (bool)0>(at::cuda::detail::Tenso…
      0.0             9440          3    3146.7    3264.0      2880      3296        231.5  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0             7392          3    2464.0    2688.0      1920      2784        473.6  void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTens…
      0.0             6881          3    2293.7    2016.0      2016      2849        480.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at…
      0.0             6816          3    2272.0    2272.0      1920      2624        352.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::Half, c10::Ha…


      vllm:
       ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)   Min (ns)   Max (ns)    StdDev (ns)                                                   Name                                                
 --------  ---------------  ---------  -----------  ----------  --------  -----------  ------------  ----------------------------------------------------------------------------------------------------
     86.8     246122178627       4512   54548355.2     11759.0      1484  46979702287  1384795323.6  triton_poi_fused_mul_silu_slice_1                                                                   
     10.7      30319372528        192  157913398.6     11902.0     11282  30314774899  2187778696.7  ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x6_tn                            
